food_name_std,fdcId,usda_description,calories_kcal_100g,carbs_g_100g,protein_g_100g,fat_g_100g,match_source,usda_similarity_pct,dataType,query_used
5 oz steamed cod,173577,"Fish oil, cod liver",902.0,0.0,0.0,100.0,api_hit,,,
5 oz tofu,167722,Tofu yogurt,394.0,16.0,3.5,1.8,api_hit,,,
5 pretzels,171370,"Babyfood, pretzels",397.0,82.2,10.8,2.0,api_hit,,,
5 wings,170478,"Winged bean leaves, raw",74.0,14.1,5.85,1.1,api_hit,,,
6 olives,172926,"Olive loaf, pork",983.0,9.2,11.8,16.5,api_hit,,,
6 oz salmon,172343,"Fish oil, salmon",902.0,0.0,0.0,100.0,api_hit,,,
6 oz trout,175153,"Fish, trout, mixed species, raw",148.0,0.0,20.8,6.61,api_hit,,,
8 pieces fried tofu with sauce,172451,"Tofu, fried",1130.0,8.86,18.8,20.2,api_hit,,,
8 pork wontons,169773,"Potsticker or wonton, pork and vegetable, frozen, unprepared",136.0,13.3,8.28,5.52,api_hit,,,
9 olives,169831,"APPLEBEE'S, 9 oz house sirloin steak",189.0,0.0,26.8,9.08,api_hit,,,
avocado oil for cooking,173573,"Oil, avocado",884.0,0.0,0.0,100.0,api_hit,,,
bbq pork,169157,"Pork, pickled pork hocks",171.0,0.0,19.1,10.5,api_hit,,,
beef brisket tendon,170200,"Beef, cured, corned beef, brisket, cooked",251.0,0.47,18.2,19.0,api_hit,,,
beef pork,172961,"Beerwurst, pork and beef",1150.0,4.27,14.0,22.5,api_hit,,,
beef tendon brisket,170200,"Beef, cured, corned beef, brisket, cooked",251.0,0.47,18.2,19.0,api_hit,,,
bluberries flax hemp chia grn apple,170148,"Seeds, hemp seed, hulled",553.0,8.67,31.6,48.8,api_hit,,,
bluberries flax hemp kiwi,170148,"Seeds, hemp seed, hulled",553.0,8.67,31.6,48.8,api_hit,,,
blueberries,2346411,"Blueberries, raw",,14.6,0.703,0.306,api_hit,,,
blueberries 1 2 kiwi,174655,"Cereals, CREAM OF WHEAT, 2 1/2 minute cook time, dry",355.0,71.8,11.6,1.41,api_hit,,,
blueberries flax hemp chia,170148,"Seeds, hemp seed, hulled",553.0,8.67,31.6,48.8,api_hit,,,
butter,171314,"Butter, Clarified butter (ghee)",900.0,0.0,0.0,100.0,api_hit,,,
cake,174943,"Cake, snack cakes, creme-filled, sponge",1560.0,64.0,3.47,11.5,api_hit,,,
cashew milk,2515374,"Nuts, cashew nuts, raw",,36.3,17.4,38.9,api_hit,,,
chia hemp flax bluebeery,170148,"Seeds, hemp seed, hulled",553.0,8.67,31.6,48.8,api_hit,,,
chickn soup,172899,"Soup, HEALTHY CHOICE Chicken and Rice Soup, canned",37.0,5.71,2.53,0.55,api_hit,,,
chinese food,169392,"Broccoli, chinese, cooked",22.0,3.81,1.14,0.72,api_hit,,,
chinese meal,169392,"Broccoli, chinese, cooked",22.0,3.81,1.14,0.72,api_hit,,,
congee queen,171969,"Crustaceans, crab, queen, raw",90.0,0.0,18.5,1.18,api_hit,,,
congee queen chinese food,169392,"Broccoli, chinese, cooked",22.0,3.81,1.14,0.72,api_hit,,,
costco fries,172451,"Tofu, fried",1130.0,8.86,18.8,20.2,api_hit,,,
crackers pretzel,167529,"Crackers, snack, Goya Crackers",433.0,64.4,14.2,13.4,api_hit,,,
cup of apple cider vinegar,173469,"Vinegar, cider",90.0,0.93,0.0,0.0,api_hit,,,
